# z_coordinate_Angstrom  potential_eV
    0.0000     -0.0000
    0.1004     -0.0000
    0.2008     -0.0000
    0.3012     -0.0000
    0.4015     -0.0000
    0.5019     -0.0000
    0.6023     -0.0000
    0.7027     -0.0000
    0.8031     -0.0000
    0.9035     -0.0000
    1.0039     -0.0000
    1.1042     -0.0000
    1.2046     -0.0000
    1.3050     -0.0000
    1.4054     -0.0000
    1.5058     -0.0001
    1.6062     -0.0002
    1.7066     -0.0004
    1.8069     -0.0007
    1.9073     -0.0013
    2.0077     -0.0023
    2.1081     -0.0042
    2.2085     -0.0074
    2.3089     -0.0129
    2.4093     -0.0219
    2.5097     -0.0365
    2.6100     -0.0595
    2.7104     -0.0952
    2.8108     -0.1492
    2.9112     -0.2293
    3.0116     -0.3453
    3.1120     -0.5095
    3.2124     -0.7369
    3.3127     -1.0445
    3.4131     -1.4509
    3.5135     -1.9753
    3.6139     -2.6356
    3.7143     -3.4463
    3.8147     -4.4166
    3.9151     -5.5471
    4.0154     -6.8280
    4.1158     -8.2370
    4.2162     -9.7386
    4.3166    -11.2842
    4.4170    -12.8145
    4.5174    -14.2623
    4.6178    -15.5576
    4.7181    -16.6332
    4.8185    -17.4305
    4.9189    -17.9051
    5.0193    -18.0315
    5.1197    -17.8063
    5.2201    -17.2485
    5.3205    -16.3989
    5.4208    -15.3170
    5.5212    -14.0764
    5.6216    -12.7592
    5.7220    -11.4502
    5.8224    -10.2316
    5.9228     -9.1777
    6.0232     -8.3513
    6.1236     -7.8005
    6.2239     -7.5569
    6.3243     -7.6344
    6.4247     -8.0285
    6.5251     -8.7169
    6.6255     -9.6597
    6.7259    -10.8017
    6.8263    -12.0740
    6.9266    -13.3981
    7.0270    -14.6902
    7.1274    -15.8665
    7.2278    -16.8486
    7.3282    -17.5703
    7.4286    -17.9820
    7.5290    -18.0551
    7.6293    -17.7845
    7.7297    -17.1891
    7.8301    -16.3099
    7.9305    -15.2067
    8.0309    -13.9536
    8.1313    -12.6326
    8.2317    -11.3284
    8.3320    -10.1223
    8.4324     -9.0876
    8.5328     -8.2858
    8.6332     -7.7634
    8.7336     -7.5504
    8.8340     -7.6588
    8.9344     -8.0824
    9.0347     -8.7973
    9.1351     -9.7619
    9.2355    -10.9195
    9.3359    -12.2003
    9.4363    -13.5251
    9.5367    -14.8097
    9.6371    -15.9705
    9.7375    -16.9303
    9.8378    -17.6240
    9.9382    -18.0040
   10.0386    -18.0439
   10.1390    -17.7409
   10.2394    -17.1160
   10.3398    -16.2124
   10.4402    -15.0915
   10.5405    -13.8282
   10.6409    -12.5052
   10.7413    -11.2069
   10.8417    -10.0143
   10.9421     -8.9995
   11.0425     -8.2228
   11.1429     -7.7291
   11.2432     -7.5468
   11.3436     -7.6860
   11.4440     -8.1391
   11.5444     -8.8799
   11.6448     -9.8658
   11.7452    -11.0385
   11.8456    -12.3271
   11.9459    -13.6517
   12.0463    -14.9280
   12.1467    -16.0727
   12.2471    -17.0095
   12.3475    -17.6748
   12.4479    -18.0228
   12.5483    -18.0295
   12.6486    -17.6943
   12.7490    -17.0404
   12.8494    -16.1130
   12.9498    -14.9749
   13.0502    -13.7022
   13.1506    -12.3779
   13.2510    -11.0864
   13.3514     -9.9079
   13.4517     -8.9137
   13.5521     -8.1624
   13.6525     -7.6978
   13.7529     -7.5462
   13.8533     -7.7162
   13.9537     -8.1983
   14.0541     -8.9648
   14.1544     -9.9713
   14.2548    -11.1581
   14.3552    -12.4533
   14.4556    -13.7762
   14.5560    -15.0419
   14.6564    -16.1674
   14.7568    -17.0764
   14.8571    -17.7059
   14.9575    -18.0105
   15.0579    -17.9657
   15.1583    -17.5699
   15.2587    -16.8438
   15.3591    -15.8277
   15.4595    -14.5773
   15.5598    -13.1584
   15.6602    -11.6410
   15.7606    -10.0933
   15.8610     -8.5769
   15.9614     -7.1429
   16.0618     -5.8300
   16.1622     -4.6635
   16.2625     -3.6559
   16.3629     -2.8089
   16.4633     -2.1150
   16.5637     -1.5608
   16.6641     -1.1288
   16.7645     -0.8001
   16.8649     -0.5558
   16.9653     -0.3784
   17.0656     -0.2525
   17.1660     -0.1651
   17.2664     -0.1058
   17.3668     -0.0664
   17.4672     -0.0409
   17.5676     -0.0247
   17.6680     -0.0146
   17.7683     -0.0085
   17.8687     -0.0048
   17.9691     -0.0027
   18.0695     -0.0015
   18.1699     -0.0008
   18.2703     -0.0004
   18.3707     -0.0002
   18.4710     -0.0001
   18.5714     -0.0001
   18.6718     -0.0000
   18.7722     -0.0000
