Parameter,Value,Status
Target Surface / Facet,"Pt(111) (p(2x2) 4-atom/layer slab) (VASP 6.4.2 (PAW-PBE, 450 eV, 6x6x1 Gamma-centered k-mesh))",PASS
Exchange-Correlation Functional,GGA-PBE-D3(BJ),PASS
Converged Surface Energy (gamma),0.084 J/m^2 (5.3 meV/A^2),PASS
Fiorentini-Methfessel Asymptotic gamma,0.097 J/m^2,PASS
Slab Layer Convergence (Delta gamma),0.0000 J/m^2,PASS
Vacuum Gap Spacing,16.0 Angstroms (c = 26.0 A),PASS
Vacuum Potential Flatness (Delta V),0.0335 eV,PASS
Calculated Work Function (Phi),5.70 eV (V_vac = -0.00 eV),PASS
Dipole Correction Audit,Active (|Delta Phi| = 0.000 eV),PASS
Adsorption Energy (CO*),-1.650 eV (-38.05 kcal/mol),PASS
Dispersion / vdW Correction,DFT-D3(BJ),PASS
